cod_uf,nome_uf,cod_mesorregiao,nome_mesorregiao,cod_microrregiao,nome_microrregiao,numero_municipio,cod_municipio,nome_municipio
21,Maranhão,4,Leste Maranhense,18,Chapadas do Alto Itapecuru,1509,2101509,Barão de Grajaú
21,Maranhão,3,Centro Maranhense,11,Alto Mearim e Grajaú,1608,2101608,Barra do Corda
21,Maranhão,1,Norte Maranhense,4,Lençóis Maranhenses,1707,2101707,Barreirinhas
21,Maranhão,1,Norte Maranhense,5,Baixada Maranhense,1772,2101772,Bela Vista do Maranhão
21,Maranhão,4,Leste Maranhense,14,Chapadinha,1731,2101731,Belágua
21,Maranhão,5,Sul Maranhense,21,Chapadas das Mangabeiras,1806,2101806,Benedito Leite
21,Maranhão,1,Norte Maranhense,1,Litoral Ocidental Maranhense,1905,2101905,Bequimão
21,Maranhão,3,Centro Maranhense,10,Médio Mearim,1939,2101939,Bernardo do Mearim
21,Maranhão,2,Oeste Maranhense,7,Gurupi,1970,2101970,Boa Vista do Gurupi
21,Maranhão,2,Oeste Maranhense,8,Pindaré,2002,2102002,Bom Jardim
21,Maranhão,2,Oeste Maranhense,8,Pindaré,2036,2102036,Bom Jesus das Selvas
21,Maranhão,3,Centro Maranhense,10,Médio Mearim,2077,2102077,Bom Lugar
21,Maranhão,4,Leste Maranhense,14,Chapadinha,2101,2102101,Brejo
21,Maranhão,2,Oeste Maranhense,8,Pindaré,2150,2102150,Brejo de Areia
21,Maranhão,4,Leste Maranhense,14,Chapadinha,2200,2102200,Buriti
21,Maranhão,4,Leste Maranhense,17,Caxias,2309,2102309,Buriti Bravo
21,Maranhão,2,Oeste Maranhense,8,Pindaré,2325,2102325,Buriticupu
21,Maranhão,2,Oeste Maranhense,9,Imperatriz,2358,2102358,Buritirana
21,Maranhão,1,Norte Maranhense,3,Rosário,2374,2102374,Cachoeira Grande
21,Maranhão,1,Norte Maranhense,1,Litoral Ocidental Maranhense,2408,2102408,Cajapió
21,Maranhão,1,Norte Maranhense,5,Baixada Maranhense,2507,2102507,Cajari
21,Maranhão,5,Sul Maranhense,19,Porto Franco,2556,2102556,Campestre do Maranhão
21,Maranhão,2,Oeste Maranhense,7,Gurupi,2606,2102606,Cândido Mendes
21,Maranhão,1,Norte Maranhense,6,Itapecuru Mirim,2705,2102705,Cantanhede
21,Maranhão,4,Leste Maranhense,15,Codó,2754,2102754,Capinzal do Norte
21,Maranhão,5,Sul Maranhense,19,Porto Franco,2804,2102804,Carolina
21,Maranhão,2,Oeste Maranhense,7,Gurupi,2903,2102903,Carutapera
21,Maranhão,4,Leste Maranhense,17,Caxias,3000,2103000,Caxias
21,Maranhão,1,Norte Maranhense,1,Litoral Ocidental Maranhense,3109,2103109,Cedral
21,Maranhão,1,Norte Maranhense,1,Litoral Ocidental Maranhense,3125,2103125,Central do Maranhão
21,Maranhão,2,Oeste Maranhense,7,Gurupi,3158,2103158,Centro do Guilherme
21,Maranhão,2,Oeste Maranhense,7,Gurupi,3174,2103174,Centro Novo do Maranhão
21,Maranhão,4,Leste Maranhense,14,Chapadinha,3208,2103208,Chapadinha
21,Maranhão,2,Oeste Maranhense,9,Imperatriz,3257,2103257,Cidelândia
21,Maranhão,4,Leste Maranhense,15,Codó,3307,2103307,Codó
21,Maranhão,4,Leste Maranhense,16,Coelho Neto,3406,2103406,Coelho Neto
21,Maranhão,4,Leste Maranhense,18,Chapadas do Alto Itapecuru,3505,2103505,Colinas
21,Maranhão,1,Norte Maranhense,5,Baixada Maranhense,3554,2103554,Conceição do Lago-Açu
21,Maranhão,4,Leste Maranhense,15,Codó,3604,2103604,Coroatá
21,Maranhão,1,Norte Maranhense,1,Litoral Ocidental Maranhense,3703,2103703,Cururupu
21,Maranhão,2,Oeste Maranhense,9,Imperatriz,3752,2103752,Davinópolis
