"cod_ibge","tipo","sexo","n"
211170,"30 a 34 anos","Homem",707
211170,"25 a 29 anos","Homem",896
211170,"20 a 24 anos","Homem",1135
211170,"15 a 19 anos","Homem",1278
211170,"10 a 14 anos","Homem",1211
211170,"5 a 9 anos","Homem",1097
211170,"0 a 4 anos","Homem",984
211167,"Mais de 100 anos","Homem",NA
211167,"95 a 99 anos","Homem",NA
211167,"90 a 94 anos","Homem",5
211167,"85 a 89 anos","Homem",5
211167,"80 a 84 anos","Homem",15
211167,"75 a 79 anos","Homem",23
211167,"70 a 74 anos","Homem",44
211167,"65 a 69 anos","Homem",66
211167,"60 a 64 anos","Homem",71
211167,"55 a 59 anos","Homem",87
211167,"50 a 54 anos","Homem",91
211167,"45 a 49 anos","Homem",130
211167,"40 a 44 anos","Homem",153
211167,"35 a 39 anos","Homem",183
211167,"30 a 34 anos","Homem",275
211167,"25 a 29 anos","Homem",288
211167,"20 a 24 anos","Homem",278
211167,"15 a 19 anos","Homem",360
211167,"10 a 14 anos","Homem",360
211167,"5 a 9 anos","Homem",302
211167,"0 a 4 anos","Homem",355
211163,"Mais de 100 anos","Homem",NA
211163,"95 a 99 anos","Homem",1
211163,"90 a 94 anos","Homem",5
211163,"85 a 89 anos","Homem",8
211163,"80 a 84 anos","Homem",16
211163,"75 a 79 anos","Homem",15
211163,"70 a 74 anos","Homem",53
211163,"65 a 69 anos","Homem",69
211163,"60 a 64 anos","Homem",84
211163,"55 a 59 anos","Homem",121
211163,"50 a 54 anos","Homem",111
211163,"45 a 49 anos","Homem",123
211163,"40 a 44 anos","Homem",159
211163,"35 a 39 anos","Homem",168
211163,"30 a 34 anos","Homem",227
211163,"25 a 29 anos","Homem",259
211163,"20 a 24 anos","Homem",302
211163,"15 a 19 anos","Homem",401
211163,"10 a 14 anos","Homem",379
211163,"5 a 9 anos","Homem",370
211163,"0 a 4 anos","Homem",315
211160,"Mais de 100 anos","Homem",1
211160,"95 a 99 anos","Homem",1
211160,"90 a 94 anos","Homem",13
211160,"85 a 89 anos","Homem",46
211160,"80 a 84 anos","Homem",75
211160,"75 a 79 anos","Homem",116
211160,"70 a 74 anos","Homem",137
211160,"65 a 69 anos","Homem",188
211160,"60 a 64 anos","Homem",247
211160,"55 a 59 anos","Homem",312
211160,"50 a 54 anos","Homem",351
211160,"45 a 49 anos","Homem",418
211160,"40 a 44 anos","Homem",519
211160,"35 a 39 anos","Homem",462
211160,"30 a 34 anos","Homem",556
211160,"25 a 29 anos","Homem",713
211160,"20 a 24 anos","Homem",863
211160,"15 a 19 anos","Homem",994
211160,"10 a 14 anos","Homem",1102
211160,"5 a 9 anos","Homem",935
211160,"0 a 4 anos","Homem",835
211157,"Mais de 100 anos","Homem",NA
211157,"95 a 99 anos","Homem",1
211157,"90 a 94 anos","Homem",1
211157,"85 a 89 anos","Homem",3
211157,"80 a 84 anos","Homem",10
211157,"75 a 79 anos","Homem",24
211157,"70 a 74 anos","Homem",35
211157,"65 a 69 anos","Homem",64
211157,"60 a 64 anos","Homem",62
211157,"55 a 59 anos","Homem",78
211157,"50 a 54 anos","Homem",93
211157,"45 a 49 anos","Homem",98
211157,"40 a 44 anos","Homem",130
211157,"35 a 39 anos","Homem",143
211157,"30 a 34 anos","Homem",155
211157,"25 a 29 anos","Homem",201
211157,"20 a 24 anos","Homem",242
